Date,Open,High,Low,Close,Adj Close,Volume
15/04/2020,21.92,22.27,21.469999,21.66,21.66,12760900
16/04/2020,21.639999,21.65,20.559999,20.870001,20.870001,11501700
17/04/2020,21.92,22.540001,21.83,22.48,22.48,17166300
20/04/2020,21.719999,22.639999,21.440001,22.379999,22.379999,15912400
21/04/2020,21.27,21.889999,20.98,21.24,21.24,13507300
22/04/2020,21.65,21.780001,21.07,21.299999,21.299999,9553600
23/04/2020,21.549999,22.059999,21.450001,21.52,21.52,10673000
24/04/2020,21.709999,22.24,21.540001,21.950001,21.950001,11991400
27/04/2020,21.52,22.57,21.139999,22.450001,22.450001,20240600
28/04/2020,23.18,23.4,22.1,22.18,22.18,22085500
29/04/2020,22.75,24.57,22.68,23.780001,23.780001,23541000
30/04/2020,23.440001,23.440001,22.25,22.290001,22.290001,15256700
01/05/2020,21.65,21.76,20.799999,20.9,20.9,17874500
04/05/2020,20.450001,20.879999,20.120001,20.75,20.75,16188800
05/05/2020,21.25,21.969999,21.120001,21.26,21.26,17802300
06/05/2020,23.049999,23.65,21.83,21.889999,21.889999,34430500
07/05/2020,22.18,22.98,22.030001,22.440001,22.440001,16977100
08/05/2020,23.07,24,23.049999,23.93,23.93,16562300
11/05/2020,23.25,23.389999,22.59,22.799999,22.799999,16754000
12/05/2020,22.99,23.27,22.549999,22.559999,22.559999,12182900
13/05/2020,22.440001,22.450001,21.129999,21.459999,21.459999,16832600
14/05/2020,20.66,22.34,20.49,22.309999,22.309999,15629100
15/05/2020,21.969999,22.68,21.83,22.629999,22.629999,14221300
18/05/2020,24,25.209999,24,24.809999,24.809999,23289200
19/05/2020,24.75,25.700001,24.290001,24.690001,24.690001,18484600
20/05/2020,25.309999,25.889999,25.219999,25.48,25.48,14056800
21/05/2020,25.290001,26.02,25.209999,25.799999,25.799999,14320700
22/05/2020,25.99,26.23,25.219999,25.98,25.98,14317400
26/05/2020,27.82,27.889999,27.25,27.4,27.4,18870500
27/05/2020,28.530001,28.83,26.91,27.790001,27.790001,15030700
28/05/2020,27.860001,27.940001,26.6,26.68,26.68,11641000
29/05/2020,26.35,26.57,25.690001,25.879999,25.879999,22223500
01/06/2020,25.99,27.219999,25.91,26.940001,26.940001,10452800
02/06/2020,27.32,27.620001,26.950001,27.41,27.41,10953800
03/06/2020,28.42,29.129999,28.25,29.07,29.07,16823000
